"","X","Address","lon","lat","AddressTrimmed"
"1",5,"Herimoncourt, Bourgogne Franche-Comté, 25310  ",6.882167,47.441944,"Herimoncourt, Bourgogne Franche-Comté, 25310  "
"2",7,"Belval, Normandy, 62130  ",2.33924,50.4159572,"Belval, Normandy, 62130  "
"3",9,"Bayeux, Normandy, 14400  ",-0.70314,49.276437,"Bayeux, Normandy, 14400  "
"4",11,"Wisques, 62219  ",2.193578,50.7249,"Wisques, 62219  "
"5",13,"Saint Wandrille Rancon, Normandie, 76490  ",0.777029,49.52128,"Saint Wandrille Rancon, Normandie, 76490  "
"6",15,"Cernay, Alsace-Champagne-Ardenne-Lorraine, 68700  ",7.176532,47.807124,"Cernay, Alsace-Champagne-Ardenne-Lorraine, 68700  "
"7",17,"Accolans, Bourgogne-Franche-Comté, 90000  ",6.5323079,47.4944879,"Accolans, Bourgogne-Franche-Comté, 90000  "
"8",19,"Secondigny, Aquitaine-Limousin-Poitou-Charentes, 79130  ",-0.419677,46.610622,"Secondigny, Aquitaine-Limousin-Poitou-Charentes, 79130  "
"9",21,"L'Isle Jourdain, 86150  ",0.688192,46.236319,"L'Isle Jourdain, 86150  "
"10",23,"Champagnac Le Vieux, Auvergne-Rhône-Alpes, 43250  ",3.520306,45.270129,"Champagnac Le Vieux, Auvergne-Rhône-Alpes, 43250  "
"11",25,"Aibre, Bourgogne-Franche-Comté, 90000  ",6.697954,47.550865,"Aibre, Bourgogne-Franche-Comté, 90000  "
"12",27,"Aiffres, Aquitaine-Limousin-Poitou-Charentes, 79230  ",-0.416943,46.286448,"Aiffres, Aquitaine-Limousin-Poitou-Charentes, 79230  "
"13",29,"Aignay Le Duc, Bourgogne-Franche-Comté, 21510  ",4.733169,47.665068,"Aignay Le Duc, Bourgogne-Franche-Comté, 21510  "
"14",31,"La Cr, Languedoc-Roussillon Midi-Pyrénées, 79260  ",3.2583626,43.5912356,"La Cr, Languedoc-Roussillon Midi-Pyrénées, 79260  "
"15",33,"Airvault, Aquitaine-Limousin-Poitou-Charentes, France  ",-0.138802,46.82465,"Airvault, Aquitaine-Limousin-Poitou-Charentes, France  "
