"","X.2","X.1","X","MosqueName","MosqueAddress","lon","lat"
"1",1,1,0,"Grand Mosquée de Strasbourg","6 Rue Averroès - 67000 STRASBOURG",7.7370277,48.573096
"2",2,2,1,"MOSQUEE DITIB YUNUS EMRE","3 rue Thomas Mann - 67200 STRASBOURG",7.7111676,48.5892633
"3",3,3,2,"Mosquée Yunus Merer (DITIB) ","38 routes de Rohrwiller - 67240 BISCHWILLER",7.8734729,48.7648311
"4",4,4,3,"Mosquée de Hautepierre","11 Rue Alexandre Dumas - 67200 STRASBOURG",7.6984516,48.5898296
"5",5,5,4,"Grande Mosquée de Strasbourg","6 Rue Averroès - 67000 STRASBOURG",7.7370277,48.573096
"6",6,6,5,"Mosquée de la vallée de la bruche","1 impasse des tanneurs - 67130 LA BROQUE",7.2160383,48.4780475
"7",7,7,6,"Mosquée Al Baraka","9 avenue de l’Energie - 67800 STRASBOURG",7.7687328,48.6279106
"8",8,8,7,"Mosquée Fatih","1 rue du Rauschenbourg - 67340 INGWILLER",7.4679236,48.8859613
"9",9,9,8,"Mosquée Fathi","13a rue du Général Vandenberg à Barr - 67140 BARR",7.4585543,48.4080043
"10",10,10,9,"Mosquée de l'Elsau","101 Rue de l’Unterelsau - 67200 STRASBOURG",7.732493,48.5608729
"11",11,11,10,"Mosquée","1, impasse Roses - 67160 WISSEMBOURG",7.9497562,49.0359033
"12",12,12,11,"Mosquée","29, rue du Maréchal Joffre - 67700 SAVERNE",7.3738923,48.7435359
"13",13,13,12,"Mosquée","21, rue Saint-Nicolas - 67700 SAVERNE",7.3697722,48.7366611
"14",14,14,13,"Mosquée","8, boulevard Le Blois - 67000 STRASBOURG",7.77088,48.5815759
"15",15,15,14,"Mosquée","9, rue Cicéron - 67000 STRASBOURG",7.7059946,48.5842877
"16",16,16,15,"Mosquée","32, rue Becquerel - 67000 STRASBOURG",7.7160817,48.6057789
"17",17,17,16,"Mosquée","13, rue Périgueux - 67000 STRASBOURG",7.7693311,48.5479875
"18",18,18,17,"Mosquée","15, rue Ballersdorf - 67000 STRASBOURG",7.7835217,48.6019858
"19",19,19,18,"Mosquée","3, Quai de Murhof - 67000 STRASBOURG",7.7128493,48.5663446
"20",20,20,19,"Mosquée","51, rue Vigil - 67000 STRASBOURG",7.7835217,48.6019858
"21",21,21,20,"Mosquée","rue National Bischheim - 67000 STRASBOURG",7.7560016,48.6162132
"22",22,22,21,"Salle de prière foyer","Rue Soultz - 67000 STRASBOURG",7.7785362,48.5659682
"23",23,23,22,"Salle de prière","Rue Tiergarthen - 67000 STRASBOURG",7.7377528,48.5849484
"24",24,24,23,"Mosquée sultan Ayoub","8, rue Adèle Riton - 67000 STRASBOURG",7.7399181,48.5908238
"25",25,25,24,"Mosquée","23a, rue des Petits Champs - 67300 SCHILTIGHEIM",7.7552965,48.6044865
"26",26,26,25,"Mosquée","avenue Gail - 67210 OBERNAI",7.4913096,48.4632363
"27",27,27,26,"Mosquée","20, rue des Jardins - 67260 SARRE UNION",7.0838164,48.943118
"28",28,28,27,"Mosquée","1, Place des Fêtes - 67280 NIEDERHASLACH",7.3449887,48.5402423
"29",29,29,28,"Centre Culturel Islamique de Molsheim","5, rue des Chasseurs - 67120 MOLSHEIM",7.4986717,48.5320746
"30",30,30,29,"Mosquée","6, rue Chappe - 67500 HAGUENAU",7.8027423,48.7995812
"31",31,31,30,"Centre Culturel de Gundershoffen","7a, rue du Dr Schweitzer - 67110 GUNDERSHOFFEN",7.6628928,48.9068167
