,MosqueName,MosqueAddress
0,Grand Mosquée de Strasbourg,6 Rue Averroès - 67000 STRASBOURG
1,MOSQUEE DITIB YUNUS EMRE,3 rue Thomas Mann - 67200 STRASBOURG
2,Mosquée Yunus Merer (DITIB) ,38 routes de Rohrwiller - 67240 BISCHWILLER
3,Mosquée de Hautepierre,11 Rue Alexandre Dumas - 67200 STRASBOURG
4,Grande Mosquée de Strasbourg,6 Rue Averroès - 67000 STRASBOURG
5,Mosquée de la vallée de la bruche,1 impasse des tanneurs - 67130 LA BROQUE
6,Mosquée Al Baraka,9 avenue de l’Energie - 67800 STRASBOURG
7,Mosquée Fatih,1 rue du Rauschenbourg - 67340 INGWILLER
8,Mosquée Fathi,13a rue du Général Vandenberg à Barr - 67140 BARR
9,Mosquée de l'Elsau,101 Rue de l’Unterelsau - 67200 STRASBOURG
10,Mosquée,"1, impasse Roses - 67160 WISSEMBOURG"
11,Mosquée,"29, rue du Maréchal Joffre - 67700 SAVERNE"
12,Mosquée,"21, rue Saint-Nicolas - 67700 SAVERNE"
13,Mosquée,"8, boulevard Le Blois - 67000 STRASBOURG"
14,Mosquée,"9, rue Cicéron - 67000 STRASBOURG"
15,Mosquée,"32, rue Becquerel - 67000 STRASBOURG"
16,Mosquée,"13, rue Périgueux - 67000 STRASBOURG"
17,Mosquée,"15, rue Ballersdorf - 67000 STRASBOURG"
18,Mosquée,"3, Quai de Murhof - 67000 STRASBOURG"
19,Mosquée,"51, rue Vigil - 67000 STRASBOURG"
20,Mosquée,rue National Bischheim - 67000 STRASBOURG
21,Salle de prière foyer,Rue Soultz - 67000 STRASBOURG
22,Salle de prière,Rue Tiergarthen - 67000 STRASBOURG
23,Mosquée sultan Ayoub,"8, rue Adèle Riton - 67000 STRASBOURG"
24,Mosquée,"23a, rue des Petits Champs - 67300 SCHILTIGHEIM"
25,Mosquée,avenue Gail - 67210 OBERNAI
26,Mosquée,"20, rue des Jardins - 67260 SARRE UNION"
27,Mosquée,"1, Place des Fêtes - 67280 NIEDERHASLACH"
28,Centre Culturel Islamique de Molsheim,"5, rue des Chasseurs - 67120 MOLSHEIM"
29,Mosquée,"6, rue Chappe - 67500 HAGUENAU"
30,Centre Culturel de Gundershoffen,"7a, rue du Dr Schweitzer - 67110 GUNDERSHOFFEN"
31,Mosquée HASSAN II -,"9, rue Nationale - 67800 BISCHHEIM"
32,Mosquée,"6, Faubourg de Strasbourg - 67230 BENFELD"
33,Mosquée Al hidaya,Rue Virgile - 67200 STRASBOURG
34,Mosquée Annour,65 Rue des Petites Fermes - 67200 STRASBOURG
35,Mosquée El Fath,Rue Saint-Nicolas - 67500 HAGUENAU
36,Mosquée Ulu çamii,6 Rue du Foulon - 67500 HAGUENAU
37,Mosquée El-Wahda,Rue du Col Vert - 67300 SCHILTIGHEIM
38,Salle de prière de la Mistral,2 Rue Mistral - 67300 SCHILTIGHEIM
39,Mosquée,Place Byron - 67200 STRASBOURG
40,Salle de prière,22 Route du Polygone - 67100 STRASBOURG
41,Mosquée Turque Eyyub-Sultan,Route de la Fédération - 67100 STRASBOURG
42,Mosquée,Rue du Baggersee - 67100 STRASBOURG
43,Mosquée de la Gare,9 Rue Thiergarten - 67000 STRASBOURG
